Filename,bf,an,mlk,ua,uav,dupv,df,pitfc,rogu,auv,dnp,osf,asom,fgbo,obaa,saigv,bd,uaf,rsva,da,dbz
pathexp.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
lib/sh/strtrans.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
arrayfunc.c,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
lib/sh/spell.c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stringlib.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lib/readline/complete.c,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
make_cmd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/trap.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lib/readline/mbutil.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
subst.c,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,23,0
builtins/mapfile.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
builtins/shopt.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/readline/histfile.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pcomplete.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/evalfile.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
execute_cmd.c,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0
lib/readline/kill.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/sh/mbscmp.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/set.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
mksyntax.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/pushd.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
alias.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/sh/stringlist.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/readline/histexpand.c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
jobs.c,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0
bracecomp.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y.tab.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
builtins/complete.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shell.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
assoc.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/glob/glob.c,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
pcomplib.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lib/readline/input.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/readline/parens.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/printf.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
builtins/read.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builtins/common.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
builtins/fc.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
braces.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
lib/readline/bind.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
redir.c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
lib/readline/display.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hashlib.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
support/bashversion.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builtins/help.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
input.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bashline.c,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
lib/sh/netopen.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builtins/let.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
builtins/mkbuiltins.c,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lib/readline/callback.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
lib/readline/funmap.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expr.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
builtins/cd.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
lib/readline/isearch.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
array.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variables.c,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,0
lib/readline/text.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
lib/sh/mbscasecmp.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/sh/zmapfd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lib/readline/search.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
findcmd.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lib/glob/sm_loop.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
bashhist.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
locale.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
