http://cloc.sourceforge.net v 1.60  T=1200.50 s (76.5 files/s, 15899.4 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
C++                            9157         662494         476766        3937043
Javascript                    19589         412585         402998        2307191
C/C++ Header                  14127         425502         673991        1822166
C                              3247         262279         380048        1532983
Pascal                         2181         757113            500        1389228
HTML                          30454         161284          35179        1375925
Python                         1936          69501          88315         268842
Java                           1952          46969          87680         221389
Assembly                        365          24114          18249         217402
Bourne Shell                    374          32638          33879         204585
XML                            1795          13581           6032         109716
JavaServer Faces               2302          10233           3109          97621
IDL                            1190          12986              0          92629
CSS                             848          21007           7710          90355
m4                               92           5132            893          45044
Objective C++                   170          10171           7635          43969
NAnt scripts                    723           4693              0          29539
make                            402           6009           5192          22247
Perl                            114           3758           5531          18900
D                               396              7             40          13287
Bourne Again Shell               22           1860           2687          12250
YAML                             10           1415            117          11689
DTD                             195           2168           2828           7504
Teamcenter def                   49             37            174           6678
SKILL                             4             68              2           2419
yacc                              3            203            164           1956
Objective C                      16            420            523           1864
MATLAB                           14            348            346           1825
XSD                               3            143           1129           1587
DOS Batch                        27            243             66           1381
XSLT                             21            130            115           1116
lex                               4            209             74            937
CMake                             6            161            383            752
Korn Shell                        5             83            165            526
Expect                            7            105            164            508
Ant                               2             27            109            401
Lisp                              2             40             37            228
SASS                              3             39              0            217
awk                               2             41              8            154
PowerShell                        2             29            110            108
sed                               6             16             25             63
C Shell                           3             25             18             53
Ruby                              2             11              2             48
Ada                               1              5              0             16
CoffeeScript                      2              7              4             13
PHP                               1              0              0              2
--------------------------------------------------------------------------------
SUM:                          91826        2949889        2242997       13894356
--------------------------------------------------------------------------------
