Filename,df,auv,dnp,saigv,obaa,uaf,osf,asom,rogu,bf,bd,an,da,rsva,dupv,pitfc,dbz,mlk,uav,ua,fgbo
kernel/locking/rtmutex.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/scsi/sd.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/rtc/interface.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kernel/sched/core.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/video/console/fbcon.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/kernfs/file.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net/sunrpc/auth.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kernel/futex.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/xattr.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net/ipv4/xfrm4_protocol.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/usb/core/hcd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/jffs2/wbuf.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/notify/fsnotify.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/tty/sysrq.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kernel/sysctl_binary.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/list_sort.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arch/arm/kernel/devtree.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/scsi/scsi_scan.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/input/mouse/trackpoint.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mm/slub.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/proc_namespace.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
