Filename,dnp,uaf,auv,rsva,an,fgbo,osf,bd,uav,obaa,da,rogu,dbz,bf,ua,df,dupv,asom,pitfc,saigv,mlk
apps/apps.c,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
engines/e_ubsec.c,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
crypto/bf/bf_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/asn1/bio_ndef.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/des_enc.c,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ssl/t1_enc.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/s_client.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ssl/s2_pkt.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/evp/digest.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/mem_dbg.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/bn/bn_add.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engines/e_aep.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ssl/d1_pkt.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
engines/e_chil.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crypto/x509v3/v3_conf.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/rsa/rsa_gen.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crypto/rsa/rsa_x931g.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/bio/b_print.c,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
crypto/des/cfb_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/dsa/dsa_gen.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/asn1/a_object.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/cms/cms_pwri.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
